variable,mannwhitney_stat,mannwhitney_p_value,ks_stat,ks_p_value,point_biserial_corr,point_biserial_p_value,auc,auc_abs,auc_interpretation,cohens_d,cohens_d_interpretation,logit_beta,logit_odds_ratio,logit_p_value,logit_separation_detected
monto_sum_15d,201384909.0,9.012920613762789e-68,0.10171378521062824,2.4139201774125856e-44,0.0637386927795504,1.804324397270329e-87,0.5719371356479487,0.5719371356479487,casi aleatorio,0.28430187845957416,pequeño,7.657745802278316e-06,1.000007657775123,1.0310089139260388e-75,False
monto_sum_10d,197795354.5,2.731452799985017e-62,0.0994101827825386,6.57291245555805e-42,0.06313493575754842,9.318871624418338e-85,0.5692639038730899,0.5692639038730899,casi aleatorio,0.2813049570641059,pequeño,1.0447932137358264e-05,1.0000104479867171,7.475358110233428e-74,False
monto_max_15d,203085451.5,2.594752138561302e-61,0.09248865380482407,1.000243865474003e-36,0.07804964291510827,2.5720184667571267e-130,0.56832247009472,0.56832247009472,casi aleatorio,0.34849003587993266,pequeño,0.0006419227991448988,1.0006421288756777,2.581604642771822e-118,False
monto_max_10d,198258073.0,1.5229828278181395e-60,0.09238697902631132,3.0276185486168094e-36,0.0765452474750549,8.627742286775956e-124,0.5682562484567151,0.5682562484567151,casi aleatorio,0.34137729790680077,pequeño,0.0006722268324525639,1.0006724528275468,4.892918577143756e-112,False
monto_max_7d,192591183.0,3.4949233905002585e-59,0.09380267163468414,6.682780268253936e-37,0.0731826386498988,2.313621485942616e-111,0.5678790875719433,0.5678790875719433,casi aleatorio,0.32545940146944596,pequeño,0.0006986640661235237,1.000698908188712,4.1163742146205844e-101,False
monto_sum_7d,193016467.5,1.3963366486309615e-57,0.09541357367835068,3.624676861950737e-38,0.06271688071715897,3.051411769529523e-82,0.5669248677404907,0.5669248677404907,casi aleatorio,0.2787166539118211,pequeño,1.4165488592306529e-05,1.0000141655889234,3.3203132285394865e-72,False
monto_max_3d,170681695.0,6.437125817530917e-53,0.09289022004763103,2.9998933954101823e-34,0.07211418769343576,4.63174931735735e-101,0.565884587590893,0.565884587590893,casi aleatorio,0.3185405595708442,pequeño,0.0007947986779849547,1.0007951146141505,7.3424078566683535e-90,False
monto_sum_3d,172072213.0,1.415987586075739e-47,0.08949544224038353,8.083486994651298e-32,0.06452418983441835,3.014105527775194e-81,0.5623479148678321,0.5623479148678321,casi aleatorio,0.28486580721877364,pequeño,3.0258402283957262e-05,1.000030258860074,1.1792167696763135e-71,False
monto_max_1d,127060098.5,2.9745181370514193e-35,0.08840410024654122,4.804631545889661e-27,0.06964066983532992,1.4803467278821762e-79,0.5571920445740611,0.5571920445740611,casi aleatorio,0.30237108615282865,pequeño,0.0009282980151225108,1.0009287290170807,1.2088898093687017e-69,False
monto_mean_15d,210207174.5,7.516305849128837e-38,0.07883679326297088,8.631223465668443e-27,0.055768241931880264,2.2692203245996503e-67,0.5531845674502777,0.5531845674502777,casi aleatorio,0.24863138444543267,pequeño,0.0024157517510874035,1.002418672030432,1.5375406318537396e-55,False
monto_sum_1d,128305743.5,2.3733503425648023e-30,0.07537336233759206,9.050903990648327e-20,0.06670282456819981,3.984685511465447e-73,0.5528509373173519,0.5528509373173519,casi aleatorio,0.2895570604346603,pequeño,8.255558339631196e-05,1.0000825589912024,3.967150671217793e-65,False
