variable,tipo,auc_abs,auc_interpretation,effect_size,effect_size_interpretation,iv,iv_interpretation,p_value,separation_detected,clasificacion,advertencia_iv
o_freq_enc,continua,0.7559436894565387,separación moderada,1.0788164011929857,grande,,,0.0,False,Útil,False
o,categórica,0.7559436894565387,separación moderada,0.29359542366964697,débil,1.114076701467345,"sospechoso, revisar leakage",0.0,False,Útil,True
o_target_enc,continua,0.7551456822714936,separación moderada,1.3651260710830906,grande,,,0.0,False,Útil,False
score_bin,categórica,0.752184951346767,separación moderada,0.23165831866793296,débil,0.9587997144774686,"sospechoso, revisar leakage",0.0,False,Útil,True
score,continua,0.7256339948404334,separación moderada,0.7817166038102444,mediano,,,0.0,False,Útil,False
score_log,continua,0.7256339948404334,separación moderada,0.44805496500966785,pequeño,,,0.0,False,Útil,False
f_log,continua,0.6868938668266665,separación débil,0.6359758832395368,mediano,,,0.0,False,Marginal (evaluar en conjunto),False
f,continua,0.6864756012583733,separación débil,0.05401057673768522,despreciable,,,0.0,False,Marginal (evaluar en conjunto),False
f_bin,categórica,0.6769859530199749,separación débil,0.1475245185156655,débil,0.4286349578771392,fuerte,0.0,True,Revisar antes de decidir (inestabilidad numérica),False
l_log,continua,0.6754706876508572,separación débil,0.8355800394902269,grande,,,0.0,False,Marginal (evaluar en conjunto),False
l,continua,0.6754706876508572,separación débil,0.5412231624832728,mediano,,,0.0,False,Marginal (evaluar en conjunto),False
l_bin,categórica,0.6610302675783728,separación débil,0.14164216648671443,débil,0.35329770250331116,fuerte,0.0,True,Revisar antes de decidir (inestabilidad numérica),False
ratio_monto_l,continua,0.6609605009032077,separación débil,0.25488459331773267,pequeño,,,0.0,False,Marginal (evaluar en conjunto),False
m,continua,0.6603953823044899,separación débil,0.43664842889810207,pequeño,,,0.0,False,Marginal (evaluar en conjunto),False
m_log,continua,0.6603953823044899,separación débil,0.6336617448660408,mediano,,,0.0,False,Marginal (evaluar en conjunto),False
pca_dm_1,continua,0.6593192845773888,separación débil,0.43604642732928295,pequeño,,,0.0,False,Marginal (evaluar en conjunto),False
