variable,transformacion_aplicada,tipo_test_aplicado,iv,auc_abs,poder_predictivo,observaciones_generales
o_freq_enc,Frequency encoding,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.7559436894565387,moderada,Útil; efecto (Cohen's d) grande
o,Variable original (sin transformar),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",1.114076701467345,0.7559436894565387,moderada,"Útil; efecto (V de Cramér) débil; IV sospechoso, revisar posible leakage"
o_target_enc,Target encoding con validación cruzada,"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.7551456822714936,moderada,Útil; efecto (Cohen's d) grande
score_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.9587997144774686,0.752184951346767,moderada,"Útil; efecto (V de Cramér) débil; IV sospechoso, revisar posible leakage"
score,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.7256339948404334,moderada,Útil; efecto (Cohen's d) mediano
score_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.7256339948404334,moderada,Útil; efecto (Cohen's d) pequeño
f_log,Transformación logarítmica (log1p),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6868938668266665,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) mediano
f,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6864756012583733,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) despreciable
f_bin,Bins por cuantiles (5 bins),"Categórica (Chi², V de Cramér, IV/WoE, AUC-WoE, LR test)",0.4286349578771392,0.6769859530199749,débil,Revisar antes de decidir (inestabilidad numérica); efecto (V de Cramér) débil; inestabilidad numérica en el ajuste logístico
l,Variable original (sin transformar),"Continua (Mann-Whitney, KS, punto-biserial, AUC, Cohen's d, Wald)",,0.6754706876508572,débil,Marginal (evaluar en conjunto); efecto (Cohen's d) mediano
