variable,mannwhitney_stat,mannwhitney_p_value,ks_stat,ks_p_value,point_biserial_corr,point_biserial_p_value,auc,auc_abs,auc_interpretation,cohens_d,cohens_d_interpretation,logit_beta,logit_odds_ratio,logit_p_value,logit_separation_detected
o_freq_enc,409488073.0,0.0,0.4508075096462979,0.0,-0.2326147659812915,0.0,0.2440563105434613,0.7559436894565387,separación moderada,-1.0788164011929857,grande,-3.478826454649647,0.030843586149143072,0.0,False
o_target_enc,132635438.5,0.0,0.4508075096462978,0.0,0.28967486119856023,0.0,0.7551456822714936,0.7551456822714936,separación moderada,1.3651260710830906,grande,13.343753022848402,623904.7695774592,0.0,False
score_log,148621661.0,0.0,0.42175961686867824,0.0,0.09884813096293159,3.656043286237966e-226,0.7256339948404334,0.7256339948404334,separación moderada,0.44805496500966785,pequeño,0.7284718023718771,2.0719118962366436,1.602984599455748e-213,False
score,148621661.0,0.0,0.42175961686867824,0.0,0.17076251439333603,0.0,0.7256339948404334,0.7256339948404334,separación moderada,0.7817166038102444,mediano,0.030224525969533816,1.0306859237323485,0.0,False
f_log,363092386.5,0.0,0.2816553380718086,0.0,-0.13911719678162443,0.0,0.31310613317333347,0.6868938668266665,separación débil,-0.6359758832395368,mediano,-0.4442609185601421,0.641298072426438,0.0,False
f,371816724.5,0.0,0.2824851601654629,0.0,-0.011973979940193015,0.0001046492451477877,0.3135243987416268,0.6864756012583733,separación débil,-0.05401057673768522,despreciable,-0.00671021457936579,0.9933122486380651,1.4503155334722905e-62,False
l_log,365856118.0,0.0,0.25543652035402037,2.560702272885217e-297,-0.18215926632266222,0.0,0.3245293123491428,0.6754706876508572,separación débil,-0.8355800394902269,grande,-0.33291962200474906,0.7168278090224135,0.0,False
l,365856118.0,0.0,0.25543652035402037,2.560702272885217e-297,-0.11914142791962312,0.0,0.3245293123491428,0.6754706876508572,separación débil,-0.5412231624832728,mediano,-0.00040441911984101785,0.9995956626465482,2.4223102527046493e-305,False
ratio_monto_l,169925590.0,0.0,0.2460693512090445,1.4090028478686023e-258,0.05501919561568644,3.016679414949747e-70,0.6609605009032077,0.6609605009032077,separación débil,0.25488459331773267,pequeño,0.023656799484134957,1.0239388412420594,8.802008211529472e-22,False
m_log,354917306.0,0.0,0.23394309806954428,1.342862683486524e-247,-0.1389698669162276,0.0,0.3396046176955101,0.6603953823044899,separación débil,-0.6336617448660408,mediano,-0.24730614278098179,0.7809015895489673,0.0,False
m,354917306.0,0.0,0.23394309806954428,1.342862683486524e-247,-0.09625175269700473,6.915075817487331e-214,0.3396046176955101,0.6603953823044899,separación débil,-0.43664842889810207,pequeño,-0.0019818781721509873,0.9980200844516192,1.6535521378002456e-201,False
pca_dm_1,357147479.5,0.0,0.2320955097302128,6.815505933123945e-245,-0.09622371864486405,2.2757359632137254e-214,0.3406807154226113,0.6593192845773888,separación débil,-0.43604642732928295,pequeño,-0.0019791487850250194,0.9980228084385064,5.0492062828940935e-202,False
j_target_enc,193483335.0,1.239918114304514e-276,0.22132997285069617,1.7193217156802616e-222,0.16641175553301973,0.0,0.642816199659482,0.642816199659482,separación débil,0.7612248029437411,mediano,9.738683489685624,16961.19708480664,0.0,False
